DeviceID,GPSTime,DeviceTime,Longitude,Latitude,GPSSpeed(Meters/second),HorizontalDilutionofPrecision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),AccelerationSensor(Total)(g),Costpermile/km(Instant)(£/km),CO2ing/km(Average)(g/km),Distancetoempty(Estimated)(km),EngineLoad(%),EngineRPM(rpm)
5e443ad4-23d9-11e6-b67b-9e71128cae77,Wed May 18 18:00:47 GMT+05:30 2016,00:46.1,77.59510374,12.901937,2.9005687,8,826,345.9,8.36,-0.44,-3.67,-0.01,-0.07,25.15,279.58,61.97,36.08,1270
5e443ad4-23d9-11e6-b67b-9e71128cae78,Wed May 18 18:00:47 GMT+05:30 2016,00:46.2,77.59510374,12.901937,2.9005687,8,826,345.9,7.97,-0.64,-3.89,-0.02,-0.07,25.15,278.99,61.97,36.08,1337
5e443ad4-23d9-11e6-b67b-9e71128cae79,Wed May 18 18:00:47 GMT+05:30 2016,00:46.3,77.59510374,12.901937,2.9005687,8,826,345.9,7.8,-2.05,-4.19,-0.05,-0.17,25.15,278.39,61.97,49.02,1456
5e443ad4-23d9-11e6-b67b-9e71128cae80,Wed May 18 18:00:47 GMT+05:30 2016,00:46.4,77.59510374,12.901937,2.9005687,8,826,345.9,7.79,-1.71,-4.28,-0.06,-0.11,25.15,278.39,61.97,42.35,1545
5e443ad4-23d9-11e6-b67b-9e71128cae81,Wed May 18 18:00:47 GMT+05:30 2016,00:46.5,77.59510374,12.901937,2.9005687,8,826,345.9,8.38,-0.86,-4.69,-0.04,-0.07,25.15,278.12,61.97,39.61,1482
5e443ad4-23d9-11e6-b67b-9e71128cae82,Wed May 18 18:00:47 GMT+05:30 2016,00:46.6,77.59510374,12.901937,2.9005687,8,826,345.9,7.46,-0.46,-5.76,-0.04,-0.08,25.15,277.61,62.55,48.24,1342
5e443ad4-23d9-11e6-b67b-9e71128cae83,Wed May 18 18:00:47 GMT+05:30 2016,00:46.7,77.59510374,12.901937,2.9005687,8,826,345.9,6.64,-1.06,-4.93,-0.13,-0.08,25.15,277.41,62.55,60.39,1151
5e443ad4-23d9-11e6-b67b-9e71128cae84,Wed May 18 18:00:47 GMT+05:30 2016,00:46.8,77.59510374,12.901937,2.9005687,8,826,345.9,7.64,-1.41,-4.28,-0.06,-0.1,25.15,277.53,62.55,74.51,1000
5e443ad4-23d9-11e6-b67b-9e71128cae85,Wed May 18 18:00:47 GMT+05:30 2016,00:46.8,77.59510374,12.901937,2.9005687,8,826,345.9,7.76,-1.39,-3.26,-0.06,-0.1,25.15,277.74,62.55,70.59,1024
5e443ad4-23d9-11e6-b67b-9e71128cae86,Wed May 18 18:00:47 GMT+05:30 2016,00:46.9,77.59510374,12.901937,2.9005687,8,826,345.9,8.53,-1.5,-3.82,-0.05,-0.09,25.15,278.07,62.55,56.47,1116
5e443ad4-23d9-11e6-b67b-9e71128cae87,Wed May 18 18:00:48 GMT+05:30 2016,00:47.0,77.59511793,12.90198312,3.9891102,4,826,8.9,8.88,-1.16,-3.49,0,-0.01,25.15,277.94,62.55,63.53,1117
5e443ad4-23d9-11e6-b67b-9e71128cae88,Wed May 18 18:00:48 GMT+05:30 2016,00:47.1,77.59511793,12.90198312,3.9891102,4,826,8.9,7.68,0.76,-3.23,-0.02,-0.04,25.15,278.02,62.55,60.78,1187
5e443ad4-23d9-11e6-b67b-9e71128cae89,Wed May 18 18:00:48 GMT+05:30 2016,00:47.2,77.59511793,12.90198312,3.9891102,4,826,8.9,8.17,-0.59,-3.62,-0.03,-0.09,25.15,277.9,62.55,58.43,1222
5e443ad4-23d9-11e6-b67b-9e71128cae90,Wed May 18 18:00:48 GMT+05:30 2016,00:47.3,77.59511793,12.90198312,3.9891102,4,826,8.9,8.45,-1.25,-3.44,-0.03,-0.09,25.15,277.86,63.04,58.43,1249
5e443ad4-23d9-11e6-b67b-9e71128cae91,Wed May 18 18:00:48 GMT+05:30 2016,00:47.4,77.59511793,12.90198312,3.9891102,4,826,8.9,8.33,-1.45,-3.92,-0.03,-0.01,25.15,277.76,63.04,57.25,1285
5e443ad4-23d9-11e6-b67b-9e71128cae92,Wed May 18 18:00:48 GMT+05:30 2016,00:47.5,77.59511793,12.90198312,3.9891102,4,826,8.9,9.2,-1.83,-4.57,0.04,0.07,25.15,277.55,63.04,53.73,1319
5e443ad4-23d9-11e6-b67b-9e71128cae93,Wed May 18 18:00:48 GMT+05:30 2016,00:47.5,77.59511793,12.90198312,3.9891102,4,826,8.9,9.53,0.46,-4.5,0.05,0.08,11.78,277.21,63.04,51.37,1342
5e443ad4-23d9-11e6-b67b-9e71128cae94,Wed May 18 18:00:48 GMT+05:30 2016,00:47.6,77.59511793,12.90198312,3.9891102,4,826,8.9,8.47,0.69,-3.77,0.05,0.08,11.78,276.78,63.04,50.2,1364
